"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"97",2011-06-01,"1H","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"98",2011-06-01,"1J","Recapture","Peromyscus maniculatus","Male","Adult",15.5,"Agg=2,asshole ,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"99",2011-06-01,"1K",NA,"Tamias amoenus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"100",2011-06-01,"1L","Recapture","Peromyscus maniculatus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"101",2011-06-01,"1O","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"102",2011-06-01,"1P","Recapture","Peromyscus maniculatus","Female","Adult",20.5,"Agg=4,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"103",2011-06-06,"2A","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"104",2011-06-06,"2B ","Recapture","Tamias amoenus","Female","Adult",41,",Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"105",2011-06-06,"2C","Recapture","Peromyscus maniculatus","Female","Adult",21.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,TRUE,TRUE,NA
"106",2011-06-06,"2E","Recapture","Peromyscus maniculatus","Female","Adult",23.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"107",2011-06-06,"2G","Recapture","Myodes gapperi","Male","Adult",19,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"108",2011-06-06,"2H","Recapture","Tamias amoenus","Female","Adult",51,",Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
