,Trap#,,Spp.,Tag (one),Tag (two),Sex,Age,Wt (g),Condition,Remarks
14/07/2008,2K,R,Pm,4466,4473,F,A,27,PREG,
16/07/2008,2K,N,Pm,4422,4423,M,J,13,NS,
23/07/2008,2K,R,Pm,4422,4423,M,J,14,NS,
28/07/2008,2K,R,Mg,4562,9817,F,A,35.5,P/L,
30/07/2008,2K,R,Pm,4466,4473,F,A,23,PREG,
04/08/2008,2K,R,Pm,4422,4423,M,J,15,NS,
06/08/2008,2K,R,Mg,4362,9817,F,A,27,LAC,
11/08/2008,2K,R,Pm,4466,4473,F,A,32,PREG/LAC,
13/08/2008,2K,R,Pm,4422,4457,M,J,16,NS,
18/08/2008,2K,N,Pm,5140,5141,F,J,10,NS,
25/08/2008,2K,R,Pm,5140,5141,F,J,12,NB,
27/08/2008,2K,R,Pm,4422,4457,M,A,17,NS,
13/05/2008,2L,N,Pm,4518,4519,M,A,18,NS,
21/05/2008,2L,R,Pm,4476,4477,F,A,18,NB,
02/06/2008,2L,R,Pm,3952,4595,M,A,18,S,
04/06/2008,2L,R,Ta,-,-,F,A,?,NB,
16/06/2008,2L,R,Pm,4312,4472 (NEW TAG),F,A,21,LAC,NEW TAG ADDED
20/06/2008,2L,N,Ta,-,-,M,A,49.5,NS,
27/06/2008,2L,R,Ta,-,-,F,A,> 60,B,
30/06/2008,2L,R,Pm,4312,4472,F,A,27,PREG,OLD LAC
03/07/2008,2L,R,Ta,-,-,M,A,> 48,S,
07/07/2008,2L,N,Ta,-,-,M,A,> 44 ,S,
09/07/2008,2L,R,Pm,4466,4473,F,A,22.5,P ,
14/07/2008,2L,N,Pm,4426,4435,M,J,10,NS,
16/07/2008,2L,R,Pm,4429,4434,M,J,13,NS,
21/07/2008,2L,R,Pm,4466,4473,F,A,21,NB,OLD LAC
23/07/2008,2L,R,Pm,4466,4473,F,A,22,NB,
30/07/2008,2L,R,Pm,4422,4423,M,J,6,NS,
04/08/2008,2L,R,Mg,9804,9809,M,J,19,NS,
11/08/2008,2L,R,Pm,4422,4423,M,J,14,NS,
11/08/2008,2L,N,Pm,9912,9913,M,J,14,NS,
13/08/2008,2L,R,Pm,9912,9913,M,J,9.5,NS,
18/08/2008,2L,R,Pm,4422,4457,M,J,14.5,NS,
22/08/2008,2L,R,Pm,4422,4457,M,A,16,NS,
25/08/2008,2L,R,Pm,4466,4473,F,A,25,NB/POST LAC,
11/06/2008,2M,R,Mg,3908 (NEW),3909 (NEW),M,A,20,S,LOST BOTH TAGS
16/06/2008,2M,R,Mg,3908,3909,M,A,21.5,S,
20/06/2008,2M,R,Mg,3908,3909,M,A,20,S,GROWTH ON HEAD
27/06/2008,2M,N,Ta,-,-,M,A,> 60,S,
30/06/2008,2M,R,Mg,-,-,M,A,19,S,"EAR TOO RIPPED, CUT PATCH ON BOT SIDE OF ASS"
06/08/2008,2M,R,Pm,4466,4473,F,A,24,LAC/PREG,
11/08/2008,2M,R,Mg,CUT RIGHT AT BUM ON BOTH SIDES,,M,A,18.5,NS,
26/05/2008,2R,R,Pm,4312,4313,F,A,21.5,NB,
20/06/2008,2R,R,Pm,4473,-,F,A,20.5,LAC,OTHER EAR TOO CUT
