Date,Trap #,New/Recap,Species,Tag,Tag,Sex,Age,Weight,Condition,Remarks,
August 22nd,1Q,R,Pm,7907,,F,YY,,,dead in trap,
August 22nd,1R,N,Pm,8745,8746,M,YY,14,NS,hair clipped,
August 22nd,2M,,Ta,,,,,,,,
August 22nd,2K,R,Pm,B286,,M,Y,14.5,NS,ripped ear,
August 22nd,2J,,Ta,,,,,,,,
August 22nd,2D,R,Pm,B292,B293,F,A,20,NB,"two in trap, other escaped",
August 22nd,2B,R,Pm,7452,7453,M,A,21.5,NS,,
August 22nd,2B,R,Pm,7917,7918,M,Y,17.5,NS,,
August 22nd,2B,N,Pm,8747,8748,M,Y,13,NS,hair clipped,
August 27th,1A,N,Pm,8774,8775,F,YY,?,NB,forgot to weigh bag,
August 27th,1B,R,Pm,8738,8739,M,YY,16,NS,,
August 27th,1C,R,Pm,7775,B276,F,YY,16,NB,,
August 27th,1D,R,Pm,B292,B293,F,A,18,NB,"two in trap, other (recap) escaped",
August 27th,1E,,Zp,,,,,,,,
August 27th,1N,R,Pm,8745,8746,M,YY,13,NS,,
August 27th,1O,R,Pm,8743,8744,F,YY,11.5,NB,,
August 27th,1P,N,Pm,8771,8772,M,YY,10,NS,,
August 27th,1Q,R,Cg,B288,B289,,A,,,dead in trap,
August 27th,2K,R,Pm,B286,,M,YY,14.5,NS,,
August 27th,2C,R,Pm,B297,B298,M,YY,15,NS,,
August 27th,2B,R,Pm,7917,7918,M,YY,16.5,NS,,
August 27th,2A,R,Pm,8747,8748,M,YY,14.5,NS,,
September 1st,1A,R,Pm,8740,B281,M,YY,17,NS,bled,
September 1st,1B,R,Pm,8774,8775,F,YY,14,NB,"hair, bled",
September 1st,1D,R,Pm,B292,B293,F,A,19,NB,,
September 1st,1E,R,Pm,7452,7453,M,A,20,NS,,
September 1st,1F,R,Pm,7775,B276,F,YY,,,dead in trap,
September 1st,1K,,Ta,,,,,,,,
September 1st,1L,N,Cg,,,,YY,,,dead in trap,
September 1st,1P,R,Pm,8743,8744,F,YY,14.5,NB,dead in trap,
September 1st,1Q,R,Pm,8771,8772,M,YY,13.5,NS,dead in trap,
September 1st,1T,N,Pm,8755,8756,F,YY,10,NB,"hair, bled",
September 1st,2K,R,Pm,B286,,M,YY,13.5,NS,"hair, bled",
September 1st,2D,N,Cg,,,,,,,dead in trap,
September 1st,2C,R,Pm,7917,7918,M,YY,,,dead in trap,
September 1st,2B,R,Pm,B297,B298,M,YY,,,dead in trap,
September 1st,2A,R,Pm,8747,8748,M,YY,,,dead in trap,
