Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
3-Aug,2C,R,Pm,3987,5201,F,A,18.0,P/L,,,,
3-Aug,2G,R,Pm,5413,5430,M,A,22.5,S,,,,
3-Aug,1L,R,Mg,5434,,M,A,20.0,S,,,,
3-Aug,2I,R,Pm,5474,5475,F,J,13.0,NB,,,,
3-Aug,2J,R,Pm,5496,5497,M,J,12.5,NS,,,,
3-Aug,1M,R,Pm,5509,5533,F,J/A,14.0,NB,Turning Brown,,,
3-Aug,1P,R,Pm,5613,5614,F,J/A,12.0,NB,"Crushed by trap door, dead.",,,
3-Aug,2A,R,Ta,,,M,A,49.0,S,,,,
3-Aug,2M,R,Ta,,,F,A,48.0,NB,,,,
3-Aug,1C,R,Zp,,,F,A,32.0,P,,,,
3-Aug,1F,R,Zp,,,F,A,29.0,P,,,,
3-Aug,1H,R,Zp,,,F,A,29.0,P,,,,
3-Aug,1O,R,Zp,,,F,A,28.0,NB,,,,
3-Aug,1Q,R,Zp,,,M,A,28.0,S,,,,
3-Aug,1S,R,Zp,,,F,A,28.0,NB,,,,
3-Aug,2D,R,Zp,,,F,A,30.0,NB,,,,
3-Aug,2F,R,Zp,,,F,A,30.0,P/L,,,,
5-Aug,2B,R,Pm,5417,5618,M,A,21.0,S,,,,
5-Aug,2C,N,Pm,5768,5769,M,J,8.5,NS,,,,
5-Aug,2E,R,Zp,-,-,F,A,27.5,L,,,,
5-Aug,2F,R,Ml,-,-,F,A,24.0,B,Cop plug,,,
5-Aug,2H,R,Pm,5413,5430,M,A,20.5,NS,,,,
5-Aug,2I,R,Pm,5474,5475,F,J,12.5,NB,,,,
5-Aug,2J,R,Pm,5496,5497,M,J/A,13.0,NS,Molting,,,
5-Aug,2K,R,Pm,3986,-,M,A,23.0,S,,,,
5-Aug,2M,R,Mg,"""C""",-,M,A,?,S,"Forgot to reweigh bag, cut in a ""c""",,,
5-Aug,1C,R,Zp,-,-,F,A,30.0,P,,,,
5-Aug,1D,R,Ta,-,-,M,A,40.0,S,,,,
5-Aug,1E,R,Zp,-,-,F,A,24.5,NB,,,,
5-Aug,1F,-,Zp,-,-,-,A,-,-,Escaped,,,
5-Aug,1G,R,Zp,-,-,M,A,24.0,S,,,,
5-Aug,1H,R,Pm,5645,5646,F,A,19.5,L,,,,
5-Aug,1K,R,Mg,5434,-,M,A,20.0,S,,,,
5-Aug,1M,R,Pm,5509,5533,F,J,13.0,NB,,,,
5-Aug,1O,N,Pm,5782,5783,M,J,14.0,NS,Hair taken,,,
5-Aug,1P,N,Pm,5784,5785,M,J,20.0,NS,Hair taken,,,
5-Aug,1Q,R,Zp,-,-,M,A,28.0,NS,,,,
5-Aug,1S,N,Zp,-,-,F,A,32.0,NB,Lost hair sample,,,
11-Aug,2B,R,Pm,3986,,M,A,20,S,Bad ear,,,
11-Aug,1H,R,Pm,3987,5201,F,A,17,L,,,,
11-Aug,1S,R,Pm,5413,5430,M,A,20.0,S,,,,
11-Aug,1L,R,Mg,5434,,M,A,25.0,S,,,,
11-Aug,2I,R,Pm,5474,5475,F,J,13,NB,,,,
11-Aug,1B,R,Pm,5509,5533,F,J/A,13,NB,,,,
11-Aug,2M,R,Pm,5645,5805,F,A,21.5,P/B,"Lost 5646, added 5805. Copulatory plug",,,
11-Aug,1O,R,Pm,5782,5783,M,J/A,15.0,NS,,,,
11-Aug,2E,N,Pm,5801,5802,M,J,10.5,NS,Hair taken,,,
11-Aug,2K,N,Pm,5803,5804,F,J,12.5,NB,No hair,,,
11-Aug,2A,R,Ta,,,M,A,60+,S,,,,
11-Aug,2G,R,Ta,,,M,A,47,NS,,,,
11-Aug,1T,N,Sc,,,,,5.5,,He's alive!,,,
11-Aug,1C,,Zp,,,,,,,Escapee,,,
11-Aug,1D,R,Zp,,,F,A,22.5,NB,,,,
11-Aug,1M,R,Pm,,,,,,,Escapee,,,
12-Aug,2B,R,Pm,3986,,M,A,19.0,S,,,,
12-Aug,2G,R,Pm,3987,5201,F,A,19.0,NB,,,,
12-Aug,2J,R,Pm,5413,5430,M,A,19.5,NS,,,,
12-Aug,1A,R,Pm,5417,5618,M,A,18.0,S,,,,
12-Aug,2H,R,Mg,5434,,M,A,23.0,S,,,,
12-Aug,2K,N,Pm,5742,5743,M,J,14.5,NS,Hair,,,
12-Aug,2A,R,Pm,5509,5533,F,J,14.0,B,,,,
12-Aug,2M,R,Pm,5645,5805,F,A,24.0,P/B/L,,,,
12-Aug,1S,R,Pm,5706,5707,F,J,12.0,NB,,,,
12-Aug,1L,R,Pm,5782,5783,M,J,14.0,NS,,,,
12-Aug,1Q,R,Pm,5784,5785,F,J,11.0,NB,"ID'd as M in pheno, weight off?",,,
12-Aug,1D,N,Mg,5806,5807,F,J,14.0,NB,Hair,,,
12-Aug,1M,N,Pm,5808,5809,F,J,13.0,NB,Hair,,,
12-Aug,2D,R,Pm,,,,J,,,Escaped,,,
12-Aug,2F,R,Ml,,,F,A,25.0,B,,,,
12-Aug,2L,R,Zp,,,F,A,21.0,NB,,,,
12-Aug,1H,R,Zp,,,F,A,28.5,P/L,,,,
14-Aug,2B,R,Pm,3986,,M,A,17.0,NS,Bad ear,,,
14-Aug,1D,R,Pm,3987,5201,F,A,17.0,NB,Small but brown,,,
